filepath,churn,num_commits,sloc,bugs,enhancements,blocker_sev_bugs,major_sev_bugs,minor_sev_bugs,critical_sev_bugs,normal_sev_bugs,trivial_sev_bugs,regressions,vulnerabilities
server/core.c,3523,161,3587,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_rewrite.c,1594,101,3571,0,0,0,0,0,0,0,0,0,0
modules/filters/mod_include.c,2425,44,3168,0,0,0,0,0,0,0,0,0,0
modules/dav/main/mod_dav.c,462,25,3128,0,0,0,0,0,0,0,0,0,0
server/mpm/event/event.c,1932,55,2240,0,0,0,0,0,0,0,0,0,0
modules/ldap/util_ldap.c,4484,108,2173,0,0,0,0,0,0,0,0,0,0
server/util.c,1540,56,2072,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy.c,2379,127,2026,0,0,0,0,0,0,0,0,0,0
modules/proxy/proxy_util.c,6613,181,2020,0,0,0,0,0,0,0,0,0,0
modules/generators/mod_autoindex.c,448,34,1820,0,0,0,0,0,0,0,0,0,0
server/util_expr_scan.c,1125,11,1810,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_negotiation.c,124,19,1809,0,0,0,0,0,0,0,0,0,0
support/ab.c,1428,62,1804,0,0,0,0,0,0,0,0,0,0
server/config.c,1205,64,1768,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_mime_magic.c,2258,18,1731,0,0,0,0,0,0,0,0,0,0
server/mpm/worker/worker.c,2023,83,1663,0,0,0,0,0,0,0,0,0,0
server/util_expr_eval.c,1907,44,1528,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy_http.c,2329,118,1482,0,0,0,0,0,0,0,0,0,0
modules/cache/mod_cache.c,3520,102,1481,0,0,0,0,0,0,0,0,0,0
support/htcacheclean.c,1377,44,1468,0,0,0,0,0,0,0,0,0,0
modules/dav/fs/repos.c,506,26,1467,0,0,0,0,0,0,0,0,0,0
server/request.c,1173,65,1446,0,0,0,0,0,0,0,0,0,0
