filepath,churn,num_commits,sloc,bugs,enhancements,blocker_sev_bugs,major_sev_bugs,minor_sev_bugs,critical_sev_bugs,normal_sev_bugs,trivial_sev_bugs,regressions,vulnerabilities
srclib/expat-lite/xmlparse.c,0,0,3038,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_rewrite.c,0,0,2997,0,0,0,0,0,0,0,0,0,2
modules/filters/mod_include.c,0,0,2055,0,0,0,0,0,0,0,0,0,1
modules/http/http_core.c,0,0,1992,0,0,0,0,0,0,0,0,0,0
modules/http/http_protocol.c,0,0,1864,0,0,0,0,0,0,0,0,0,1
server/mpm/prefork/prefork.c,0,0,1804,0,0,0,0,0,0,0,0,0,2
modules/metadata/mod_mime_magic.c,0,0,1731,0,0,0,0,0,0,0,0,0,0
srclib/expat-lite/xmltok_impl.c,0,0,1631,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_negotiation.c,0,0,1478,0,0,0,0,0,0,0,0,0,2
server/util.c,0,0,1430,0,0,0,0,0,0,0,0,0,5
srclib/expat-lite/xmltok.c,0,0,1293,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_auth_digest.c,0,0,1278,0,0,0,0,0,0,0,0,0,0
server/mpm/dexter/dexter.c,0,0,1262,0,0,0,0,0,0,0,0,0,0
server/mpm/mpmt_pthread/mpmt_pthread.c,0,0,1240,0,0,0,0,0,0,0,0,0,0
server/mpm/spmt_os2/spmt_os2.c,0,0,1240,0,0,0,0,0,0,0,0,0,0
modules/generators/mod_autoindex.c,0,0,1224,0,0,0,0,0,0,0,0,0,0
include/ap_config.h,0,0,1108,0,0,0,0,0,0,0,0,0,1
srclib/expat-lite/xmlrole.c,0,0,1020,0,0,0,0,0,0,0,0,0,0
server/mpm/mpmt_beos/mpmt_beos.c,0,0,1009,0,0,0,0,0,0,0,0,0,0
server/config.c,0,0,949,0,0,0,0,0,0,0,0,0,0
modules/proxy/proxy_ftp.c,0,0,863,0,0,0,0,0,0,0,0,0,2
modules/proxy/proxy_util.c,0,0,848,0,0,0,0,0,0,0,0,0,1
modules/http/http_request.c,0,0,845,0,0,0,0,0,0,0,0,0,0
support/ab.c,0,0,803,0,0,0,0,0,0,0,0,0,0
modules/loggers/mod_log_config.c,0,0,754,0,0,0,0,0,0,0,0,0,0
modules/generators/mod_cgid.c,0,0,729,0,0,0,0,0,0,0,0,0,1
modules/proxy/mod_proxy.c,0,0,641,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_imap.c,0,0,610,0,0,0,0,0,0,0,0,0,0
modules/generators/mod_info.c,0,0,579,0,0,0,0,0,0,0,0,0,1
server/vhost.c,0,0,573,0,0,0,0,0,0,0,0,0,0
include/httpd.h,0,0,544,0,0,0,0,0,0,0,0,0,3
server/log.c,0,0,530,0,0,0,0,0,0,0,0,0,2
modules/generators/mod_cgi.c,0,0,454,0,0,0,0,0,0,0,0,0,0
server/util_script.c,0,0,449,0,0,0,0,0,0,0,0,0,2
test/time-sem.c,0,0,422,0,0,0,0,0,0,0,0,0,0
support/httpd.exp,0,0,410,0,0,0,0,0,0,0,0,0,0
server/mpm/dexter/scoreboard.c,0,0,387,0,0,0,0,0,0,0,0,0,0
test/zb.c,0,0,377,0,0,0,0,0,0,0,0,0,0
support/htpasswd.c,0,0,370,0,0,0,0,0,0,0,0,0,0
modules/experimental/mod_example.c,0,0,367,0,0,0,0,0,0,0,0,0,0
modules/proxy/proxy_http.c,0,0,360,0,0,0,0,0,0,0,0,0,0
os/win32/util_win32.c,0,0,332,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_vhost_alias.c,0,0,324,0,0,0,0,0,0,0,0,0,0
os/win32/mod_isapi.c,0,0,321,0,0,0,0,0,0,0,0,0,0
server/util_uri.c,0,0,318,0,0,0,0,0,0,0,0,0,0
support/suexec.c,0,0,317,0,0,0,0,0,0,0,0,0,0
server/main.c,0,0,314,0,0,0,0,0,0,0,0,0,1
acinclude.m4,0,0,300,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_rewrite.h,0,0,293,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_speling.c,0,0,288,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_access.c,0,0,285,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_alias.c,0,0,284,0,0,0,0,0,0,0,0,0,1
os/unix/unixd.c,0,0,278,0,0,0,0,0,0,0,0,0,1
os/tpf/os.c,0,0,271,0,0,0,0,0,0,0,0,0,0
ApacheCore.def,0,0,267,0,0,0,0,0,0,0,0,0,0
modules/http/mod_mime.c,0,0,254,0,0,0,0,0,0,0,0,0,0
modules/test/mod_test_util_uri.c,0,0,245,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_setenvif.c,0,0,240,0,0,0,0,0,0,0,0,0,1
support/logresolve.c,0,0,239,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_expires.c,0,0,226,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_auth_db.c,0,0,210,0,0,0,0,0,0,0,0,0,0
server/mpm/mpmt_pthread/scoreboard.c,0,0,203,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_auth.c,0,0,202,0,0,0,0,0,0,0,0,0,0
srclib/expat-lite/xmltok.h,0,0,195,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_auth_dbm.c,0,0,194,0,0,0,0,0,0,0,0,0,0
server/listen.c,0,0,193,0,0,0,0,0,0,0,0,0,1
modules/metadata/mod_cern_meta.c,0,0,186,0,0,0,0,0,0,0,0,0,0
srclib/expat-lite/xmlparse.h,0,0,185,0,0,0,0,0,0,0,0,0,0
support/htdigest.c,0,0,178,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_userdir.c,0,0,173,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_auth_anon.c,0,0,171,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_unique_id.c,0,0,167,0,0,0,0,0,0,0,0,0,0
modules/proxy/proxy_connect.c,0,0,164,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_usertrack.c,0,0,162,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy.h,0,0,161,0,0,0,0,0,0,0,0,0,0
os/bs2000/bs2login.c,0,0,152,0,0,0,0,0,0,0,0,0,0
srclib/expat-lite/nametab.h,0,0,150,0,0,0,0,0,0,0,0,0,0
test/test_date.c,0,0,149,0,0,0,0,0,0,0,0,0,0
include/http_config.h,0,0,148,0,0,0,0,0,0,0,0,0,0
server/mpm/mpmt_beos/scoreboard.c,0,0,147,0,0,0,0,0,0,0,0,0,0
os/os2/util_os2.c,0,0,143,0,0,0,0,0,0,0,0,0,0
test/cls.c,0,0,140,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_so.c,0,0,135,0,0,0,0,0,0,0,0,0,0
os/tpf/ebcdic.c,0,0,131,0,0,0,0,0,0,0,0,0,0
server/connection.c,0,0,131,0,0,0,0,0,0,0,0,0,0
server/util_date.c,0,0,127,0,0,0,0,0,0,0,0,0,0
os/bs2000/ebcdic.c,0,0,127,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_dir.c,0,0,127,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_env.c,0,0,126,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_headers.c,0,0,126,0,0,0,0,0,0,0,0,0,0
test/test_limits.c,0,0,125,0,0,0,0,0,0,0,0,0,0
os/tpf/samples/linkdll.jcl,0,0,119,0,0,0,0,0,0,0,0,0,0
os/beos/beosd.c,0,0,114,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_actions.c,0,0,111,0,0,0,0,0,0,0,0,0,0
support/logresolve.pl,0,0,111,0,0,0,0,0,0,0,0,0,0
include/http_core.h,0,0,110,0,0,0,0,0,0,0,0,0,1
srclib/expat-lite/hashtable.c,0,0,109,0,0,0,0,0,0,0,0,0,0
server/mpm/mpmt_pthread/scoreboard.h,0,0,109,0,0,0,0,0,0,0,0,0,0
server/rfc1413.c,0,0,103,0,0,0,0,0,0,0,0,0,0
os/win32/os.h,0,0,99,0,0,0,0,0,0,0,0,0,0
