filepath,churn,num_commits,sloc,bugs,enhancements,blocker_sev_bugs,major_sev_bugs,minor_sev_bugs,critical_sev_bugs,normal_sev_bugs,trivial_sev_bugs,regressions,vulnerabilities
server/core.c,2401,113,4287,18,3,0,0,2,1,12,0,0,0
modules/mappers/mod_rewrite.c,1050,60,3746,18,4,0,3,1,0,8,0,2,0
modules/filters/mod_include.c,385,18,3176,1,0,0,0,0,0,1,0,0,0
modules/dav/main/mod_dav.c,241,18,3143,9,0,0,1,1,0,7,0,0,0
modules/proxy/proxy_util.c,3691,172,2854,23,3,1,2,1,1,14,0,1,0
server/mpm/event/event.c,3797,121,2809,8,1,0,2,0,1,4,0,0,0
server/util.c,1046,59,2530,2,0,0,0,0,0,1,0,1,0
modules/lua/lua_request.c,3258,99,2413,4,2,0,0,1,0,1,0,0,0
modules/proxy/mod_proxy.c,1460,102,2392,7,1,0,2,0,0,4,0,0,0
modules/ssl/mod_ssl_ct.c,616,19,2300,0,0,0,0,0,0,0,0,0,0
modules/ldap/util_ldap.c,405,31,2254,3,0,0,0,0,0,3,0,0,0
support/ab.c,438,25,1984,11,2,0,0,1,0,8,0,0,0
modules/http2/h2_session.c,6286,106,1884,0,0,0,0,0,0,0,0,0,0
modules/generators/mod_autoindex.c,257,21,1823,2,0,0,0,0,0,2,0,0,0
server/config.c,265,24,1823,4,0,0,0,0,0,4,0,0,0
server/util_expr_scan.c,308,4,1820,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_negotiation.c,126,15,1806,0,0,0,0,0,0,0,0,0,0
modules/lua/mod_lua.c,1846,70,1788,2,1,0,0,0,0,1,0,0,0
server/mpm/worker/worker.c,992,39,1769,1,0,0,1,0,0,0,0,0,0
modules/metadata/mod_mime_magic.c,110,3,1731,0,0,0,0,0,0,0,0,0,0
server/util_expr_eval.c,693,49,1729,1,0,0,0,0,0,1,0,0,0
server/request.c,474,30,1633,5,0,0,0,0,0,5,0,0,0
modules/cache/mod_cache.c,882,50,1607,12,0,0,3,0,0,9,0,0,0
modules/ssl/ssl_engine_config.c,1025,56,1546,8,4,0,0,1,0,3,0,0,0
modules/aaa/mod_authnz_ldap.c,1083,23,1541,1,0,0,0,0,0,1,0,0,0
modules/ssl/ssl_engine_kernel.c,2502,93,1505,10,3,0,1,2,0,2,2,0,0
server/protocol.c,1237,68,1499,6,0,0,2,1,0,3,0,0,0
modules/proxy/mod_proxy_balancer.c,1347,66,1482,9,1,1,1,1,2,3,0,0,0
modules/proxy/mod_proxy_ftp.c,617,23,1473,3,1,0,0,0,0,1,0,1,0
modules/ssl/ssl_engine_io.c,1024,62,1468,6,1,0,0,0,0,4,1,0,0
modules/dav/fs/repos.c,73,5,1468,3,0,0,0,0,0,3,0,0,0
support/htcacheclean.c,54,4,1458,0,0,0,0,0,0,0,0,0,0
support/win32/ApacheMonitor.c,1,1,1435,0,0,0,0,0,0,0,0,0,0
server/log.c,632,36,1428,0,0,0,0,0,0,0,0,0,0
server/util_expr_parse.c,1922,6,1423,0,0,0,0,0,0,0,0,0,0
modules/generators/mod_cgid.c,223,20,1417,5,0,0,1,1,0,3,0,0,0
modules/proxy/mod_proxy_http.c,1689,63,1417,13,1,0,2,1,3,5,0,1,0
modules/ssl/ssl_engine_init.c,2811,98,1416,16,4,0,1,2,0,7,0,2,0
modules/loggers/mod_log_config.c,539,32,1402,5,1,0,2,0,0,2,0,0,0
