filepath,churn,num_commits,sloc,bugs,enhancements,blocker_sev_bugs,major_sev_bugs,minor_sev_bugs,critical_sev_bugs,normal_sev_bugs,trivial_sev_bugs,regressions,vulnerabilities
server/core.c,0,0,3587,30,3,0,0,2,2,14,9,0,1
modules/mappers/mod_rewrite.c,0,0,3571,31,5,0,1,3,0,14,8,0,2
modules/filters/mod_include.c,0,0,3168,11,0,0,0,0,0,2,7,2,1
modules/dav/main/mod_dav.c,0,0,3128,8,2,0,3,0,0,3,0,0,1
server/mpm/event/event.c,0,0,2240,9,1,0,1,1,2,4,0,0,0
modules/ldap/util_ldap.c,0,0,2173,18,4,0,2,1,0,10,0,1,1
server/util.c,0,0,2072,19,0,0,1,0,0,11,7,0,1
modules/proxy/mod_proxy.c,0,0,2026,15,6,0,1,1,0,6,0,1,1
modules/proxy/proxy_util.c,0,0,2020,33,4,1,1,3,5,16,1,2,1
modules/generators/mod_autoindex.c,0,0,1820,7,2,0,0,2,0,2,1,0,0
server/util_expr_scan.c,0,0,1810,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_negotiation.c,0,0,1809,5,0,0,0,1,0,4,0,0,0
support/ab.c,0,0,1804,22,3,0,1,1,1,14,2,0,0
server/config.c,0,0,1768,14,0,0,3,1,0,10,0,0,1
modules/metadata/mod_mime_magic.c,0,0,1731,3,0,0,0,0,0,2,1,0,0
server/mpm/worker/worker.c,0,0,1663,14,1,0,2,0,2,7,2,0,2
server/util_expr_eval.c,0,0,1528,4,1,0,0,0,0,3,0,0,0
modules/proxy/mod_proxy_http.c,0,0,1482,35,4,4,3,1,4,17,1,1,4
modules/cache/mod_cache.c,0,0,1481,16,2,0,1,0,0,12,0,1,0
support/htcacheclean.c,0,0,1468,8,1,0,0,0,0,0,7,0,0
modules/dav/fs/repos.c,0,0,1467,6,0,0,2,0,0,3,0,1,0
server/request.c,0,0,1446,15,0,0,0,0,0,7,7,1,0
support/win32/ApacheMonitor.c,0,0,1436,1,0,0,0,0,0,1,0,0,0
modules/aaa/mod_auth_digest.c,0,0,1408,4,0,0,1,0,0,3,0,0,0
server/util_expr_parse.c,0,0,1398,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy_ftp.c,0,0,1395,6,1,0,0,0,1,4,0,0,4
modules/ssl/ssl_engine_config.c,0,0,1379,5,3,0,0,0,0,2,0,0,0
modules/generators/mod_cgid.c,0,0,1367,11,0,0,1,1,1,8,0,0,0
modules/aaa/mod_authnz_ldap.c,0,0,1361,12,4,0,3,1,0,4,0,0,0
server/log.c,0,0,1354,3,1,0,0,1,0,1,0,0,0
modules/ssl/ssl_engine_kernel.c,0,0,1313,17,6,0,3,1,0,7,0,0,1
modules/ssl/ssl_engine_io.c,0,0,1255,11,2,2,3,0,0,4,0,0,0
modules/dav/main/util.c,0,0,1225,3,0,0,1,0,0,2,0,0,2
modules/loggers/mod_log_config.c,0,0,1223,5,2,0,0,0,1,2,0,0,1
server/protocol.c,0,0,1184,16,0,0,1,3,1,11,0,0,3
